ha	UH	ha
.	SENT	.
up	IN	up
ba	NN	ba
bay	NN	bay
.	SENT	.
ow	VV	ow
.	SENT	.
moo	VV	moo
.	SENT	.
um	FW	um
.	SENT	.
ah	UH	ah
.	SENT	.
ah	UH	ah
.	SENT	.
ah	UH	ah
.	SENT	.
ow	VV	ow
.	SENT	.
oh	UH	oh
.	SENT	.
ow	VV	ow
nany	NN	nany
.	SENT	.
oh	UH	oh
.	SENT	.
ow	VV	ow
.	SENT	.
hmm	NN	hmm
.	SENT	.
eh	UH	eh
.	SENT	.
whoo	NN	whoo
.	SENT	.
whoo	NN	whoo
woo	VV	woo
.	SENT	.
who	WP	who
.	SENT	.
horsie	NN	horsie
.	SENT	.
horsie	NN	horsie
.	SENT	.
eueueu	NN	eueueu
.	SENT	.
ahu	NN	ahu
.	SENT	.
ahu	NN	ahu
.	SENT	.
ahu	NN	ahu
.	SENT	.
ahuhuhu	NN	ahuhuhu
.	SENT	.
piggie	NN	piggie
.	SENT	.
piggie	NN	piggie
.	SENT	.
piggie	NN	piggie
.	SENT	.
oug	NN	oug
oug	NN	oug
.	SENT	.
chickie	NN	chickie
.	SENT	.
oig	NN	oig
oig	NN	oig
oig	NN	oig
gu	JJ	gu
.	SENT	.
peep	NN	peep
peep	NN	peep
.	SENT	.
oig	NN	oig
ag	NN	ag
oig	NN	oig
oig	NN	oig
oig	NN	oig
oig	NN	oig
.	SENT	.
do	VVP	do
.	SENT	.
hutch	NN	hutch
.	SENT	.
cow	NN	cow
.	SENT	.
moo	VV	moo
moo	NN	moo
.	SENT	.
moo	VV	moo
moo	NN	moo
.	SENT	.
baby	NN	baby
.	SENT	.
Mommy	NP	mommy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
boy	NN	boy
.	SENT	.
girl	NN	girl
.	SENT	.
moo	VV	moo
.	SENT	.
maw	NN	maw
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
doggie	JJ	doggie
.	SENT	.
that	DT	that
's	VVZ	's
a	DT	a
baby	NN	baby
.	SENT	.
Mommy	NP	mommy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Dadda	NP	dadda
.	SENT	.
down	RB	down
.	SENT	.
me	PP	me
down	RB	down
up	IN	up
.	SENT	.
up	IN	up
down	RB	down
.	SENT	.
down	RB	down
.	SENT	.
woo	VV	woo
.	SENT	.
woo	VV	woo
.	SENT	.
baby	NN	baby
.	SENT	.
baby	NN	baby
.	SENT	.
hat	NN	hat
.	SENT	.
hut	NN	hut
.	SENT	.
look	VV	look
.	SENT	.
look	VV	look
.	SENT	.
look	VV	look
.	SENT	.
doodie	NN	doodie
.	SENT	.
see	VV	see
.	SENT	.
footie	NN	footie
.	SENT	.
doodie	NN	doodie
.	SENT	.
toydee	NN	toydee
toy	NN	toy
.	SENT	.
yes	UH	yes
.	SENT	.
mine	NN	mine
.	SENT	.
footie	NN	footie
rock	NN	rock
.	SENT	.
book	NN	book
.	SENT	.
how	WRB	how
oh	UH	oh
.	SENT	.
book	NN	book
.	SENT	.
gun	NN	gun
.	SENT	.
cone	NN	cone
.	SENT	.
lala	NN	lala
.	SENT	.
gaga	NN	gaga
.	SENT	.
gala	JJ	gala
.	SENT	.
gaga	NN	gaga
.	SENT	.
book	NN	book
.	SENT	.
ah	UH	ah
.	SENT	.
eggies	NNS	<unknown>
.	SENT	.
cheese	NN	cheese
.	SENT	.
cheese	NN	cheese
.	SENT	.
cheese	NN	cheese
.	SENT	.
car	NN	car
.	SENT	.
ah	UH	ah
.	SENT	.
car	NN	car
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Mommy	NP	mommy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
haha	NN	haha
haha	NN	haha
.	SENT	.
Mommy	NP	mommy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
book	NN	book
.	SENT	.
night	NN	night
.	SENT	.
night	NN	night
.	SENT	.
night	NN	night
.	SENT	.
Nana	NP	nana
.	SENT	.
ah	UH	ah
.	SENT	.
eh	UH	eh
ah	UH	ah
.	SENT	.
baby	NN	baby
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
duck	NN	duck
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
look	NN	look
.	SENT	.
boy	NN	boy
.	SENT	.
Goldie	NP	goldie
.	SENT	.
Daddy	NP	daddy
.	SENT	.
Daddy	NP	daddy
.	SENT	.
cookie	NN	cookie
.	SENT	.
doggie	JJ	doggie
.	SENT	.
tea	NN	tea
.	SENT	.
eh	UH	eh
.	SENT	.
turn	VV	turn
.	SENT	.
flower	NN	flower
.	SENT	.
how	WRB	how
.	SENT	.
doggie	JJ	doggie
!	SENT	!
doggie	JJ	doggie
.	SENT	.
